country,rank,centralized_service_value_received_rank,retail_centralized_service_value_received_rank,p2p_exchange_trade_volume_rank,defi_value_received_rank,retail_defi_value_received_rank,rank_note
UAE,78,77,89,102,60,60,
Bolivia,79,62,55,64,111,111,
Benin,80,123,119,34,79,79,
Belgium,81,74,82,105,75,75,
Mozambique,82,92,88,37,112,112,
Senegal,83,121,115,58,76,76,
Austria,84,73,78,127,65,65,
Albania,85,106,110,98,58,58,
Mongolia,86,86,70,74,103,103,
Haiti,87,103,113,42,101,101,
Lithuania,88,88,94,121,66,66,
Armenia,89,81,63,113,88,88,
New Zealand,90,107,112,101,68,68,
Malawi,91,108,118,47,104,104,
Costa Rica,92,84,100,103,86,86,
Jamaica,93,98,103,50,113,113,
Nicaragua,94,117,111,86,77,77,
El Salvador,95,80,80,88,108,108,
Paraguay,96,111,99,92,85,85,
Panama,97,113,114,95,81,81,
Slovakia,98,75,81,115,97,97,
Finland,99,97,97,123,80,80,
Latvia,100,78,91,148,64,64,
Slovenia,101,72,98,129,82,82,
Croatia,102,91,93,109,95,95,
Zimbabwe,103,83,102,52,120,120,
Guatemala,104,87,76,126,100,100,
Honduras,105,99,90,97,109,109,
Guinea,106,131,129,78,73,73,
Estonia,107,102,92,139,83,83,
Angola,108,100,106,67,116,116,
Lebanon,109,101,96,83,118,118,
Burkina Faso,110,94,83,39,131,131,
Norway,111,116,116,124,102,102,
Denmark,112,104,105,138,106,106,
North Macedonia,113,112,109,147,89,89,
Somalia,114,95,74,111,125,125,
Ireland,115,115,125,131,94,94,
Kuwait,116,119,122,130,93,93,
Mauritius,117,138,141,110,62,62,
Togo,118,126,120,51,129,129,
Libya,119,125,124,108,114,114,
Zambia,120,114,117,41,132,132,
Uruguay,121,110,107,117,123,123,
Puerto Rico,122,120,131,133,105,105,
Cyprus,123,118,121,145,110,110,
Mali,124,127,108,31,137,137,
Madagascar,125,93,95,53,138,138,
Bosnia and Herzegovina,126,109,123,144,119,119,
Bahamas,127,130,130,128,117,117,
Luxembourg,128,143,145,107,115,115,
Trinidad and Tobago,129,133,136,112,127,127,
Democratic Republic of Congo,130,96,75,10,145,145,
Syria,131,124,104,85,140,140,
Montenegro,132,129,132,149,124,124,
Bahrain,133,136,142,141,122,122,
Macao,134,135,135,143,128,128,
Tajikistan,135,122,128,116,139,139,
Cuba,136,132,126,136,134,134,
Oman,137,140,138,150,121,121,
Qatar,138,139,137,142,130,130,
Malta,139,141,143,151,126,126,
Namibia,140,134,140,118,142,142,
Maldives,141,150,148,114,136,136,
Rwanda,142,137,133,48,147,147,
Seychelles,143,145,134,134,143,143,
Botswana,144,144,147,132,141,141,
Antigua and Barbuda,145,148,151,135,135,135,
Niger,146,149,144,59,146,146,
Afghanistan,147,128,127,125,149,149,
Barbados,148,89,61,119,151,151,
Suriname,149,147,146,146,144,144,
Gabon,150,151,150,120,148,148,
Iceland,151,146,149,153,133,133,
Fiji,152,142,139,137,152,152,
Brunei Darussalam,153,152,152,152,150,150,
Cabo Verde,154,153,153,140,154,154,
Guyana,155,154,154,154,153,153,
